car_make,car_model,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Dodge,Challenger,2014,124000,Automatic,,,,,            Drive          ,8,,85000
Mazda,2,2016,138000,Automatic,,,,,            Drive          ,4,,35000
Jeep,Wrangler,2015,181000,Automatic,,,,,            Drive          ,6,,110000
Ford,Edge,2014,92000,Automatic,,,,,            Drive          ,6,,55000
Lexus,LX,2011,281000,Automatic,,,,,            Drive          ,8,,116000
Chevrolet,Tahoe,2015,234000,Automatic,,,,,            Drive          ,8,,90000
Ford,Expedition,2018,45000,Automatic,,,,,            Drive          ,6,,152500
Kia,K5,2018,98000,Automatic,,,,,            Drive          ,4,,70000
Mercedes-Benz,E-Class,2017,42000,Automatic,,,,,            Drive          ,4,,153000
Hyundai,Santa,2017,178000,Automatic,,,,,            Drive          ,4,,62000
Ford,Expedition,2015,131000,Automatic,,,,,            Drive          ,6,,115000
Toyota,Innova,2020,20000,Automatic,,,,,            Drive          ,4,,91500
Nissan,Pathfinder,2014,217000,Automatic,Petrol,Silver,4.0,3498.0,            All Wheel Drive          ,6,Minor wear and tear,45500
